mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
387.1678_3.4511,387.1678,3.4511,811743.46875,Cluster_387.1678_3.4511,387.1678_3.4511;388.1709_3.4506;389.178_3.4469;487.0924_3.4506;488.0951_3.451;512.0324_3.4501;514.0311_3.4496;775.3402_3.4507;797.3217_3.4519;799.321_3.4546;813.2953_3.4597;828.2515_3.4512,12
447.1536_3.5089,447.1536,3.5089,322604.87505,Cluster_447.1536_3.5089,437.1238_3.5102;439.1219_3.5096;447.1536_3.5089,3
175.062_3.335,175.062,3.335,92020.4805,175.062_3.335,175.062_3.335,1
165.0411_0.6728,165.0411,0.6728,166467.14845,165.0411_0.6728,165.0411_0.6728,1
308.1007_0.6427,308.1007,0.6427,93750.97654999999,Cluster_308.1007_0.6427,308.1007_0.6427;406.074_0.6482,2
362.0522_1.072,362.0522,1.072,248429.94535,362.0522_1.072,362.0522_1.072,1
632.7285_0.5837,632.7285,0.5837,114340.1133,Cluster_296.8839_0.5836,1052.5345_0.5834;1054.5334_0.5835;1096.5173_0.583;1136.4956_0.5832;1138.4952_0.5833;1222.4566_0.5831;1306.4187_0.5826;1390.3812_0.5831;296.8839_0.5836;298.8821_0.5837;380.8452_0.5838;382.8433_0.5834;464.8062_0.5835;466.8046_0.5845;548.7675_0.5832;550.7656_0.5838;632.7285_0.5837;634.7267_0.5837;716.6895_0.5838;718.6877_0.5835;800.6505_0.5837;802.6489_0.583;804.6471_0.583;884.6117_0.5832;886.6103_0.584;888.6085_0.5827;927.5936_0.5834;968.573_0.5837;970.572_0.5835;972.5704_0.5856,30
407.0063_1.139,407.0063,1.139,63580.76565,407.0063_1.139,407.0063_1.139,1
191.0207_2.2971,191.0207,2.2971,184300.67969999998,Cluster_191.0207_2.2971,191.0207_2.2971;192.0244_2.2978,2
289.0693_1.5851,289.0693,1.5851,123614.63285,Cluster_243.064_1.585,243.064_1.585;279.0406_1.5825;281.0378_1.5813;289.0693_1.5851;311.0511_1.5843;341.0399_1.5782;387.986_1.5865;487.1329_1.5836;540.045_1.5843,9
134.0175_0.7797,134.0175,0.7797,148506.21095,Cluster_133.0142_0.7769,115.0031_0.7705;133.0142_0.7769;134.0175_0.7797,3
304.0654_2.2995,304.0654,2.2995,151207.33595,Cluster_312.097_2.2992,134.0477_2.2989;266.0925_2.2989;302.0682_2.2995;304.0654_2.2995;312.097_2.2992;586.0991_2.2986,6
611.1458_2.0062,611.1458,2.0062,72839.875,Cluster_611.1458_2.0062,611.1457_2.0069;611.1458_2.0062;612.1482_2.0073;613.1452_2.007;633.1273_2.0074;655.1083_2.0084;664.0564_2.0102;665.062_2.0078,8
431.1944_3.7037,431.1944,3.7037,372831.7188,Cluster_431.1944_3.7037,431.1944_3.7037;485.114_3.7056,2
171.0079_0.662,171.0079,0.662,573871.8125,171.0079_0.662,171.0079_0.662,1
134.0477_2.2989,134.0477,2.2989,160423.79690000002,Cluster_312.097_2.2992,134.0477_2.2989;266.0925_2.2989;302.0682_2.2995;304.0654_2.2995;312.097_2.2992;586.0991_2.2986,6
245.0949_4.3542,245.0949,4.3542,477266.9375,Cluster_245.0949_4.3542,203.084_4.3547;245.0949_4.3542;345.0112_4.3538;389.009_4.354;601.156_4.3521;632.0854_4.3523,6
716.6895_0.5838,716.6895,0.5838,95154.46484999999,Cluster_296.8839_0.5836,1052.5345_0.5834;1054.5334_0.5835;1096.5173_0.583;1136.4956_0.5832;1138.4952_0.5833;1222.4566_0.5831;1306.4187_0.5826;1390.3812_0.5831;296.8839_0.5836;298.8821_0.5837;380.8452_0.5838;382.8433_0.5834;464.8062_0.5835;466.8046_0.5845;548.7675_0.5832;550.7656_0.5838;632.7285_0.5837;634.7267_0.5837;716.6895_0.5838;718.6877_0.5835;800.6505_0.5837;802.6489_0.583;804.6471_0.583;884.6117_0.5832;886.6103_0.584;888.6085_0.5827;927.5936_0.5834;968.573_0.5837;970.572_0.5835;972.5704_0.5856,30
839.337_4.5217,839.337,4.5217,138842.6797,Cluster_839.337_4.5217,779.3151_4.5218;839.337_4.5217;861.3169_4.5224;892.2471_4.5212,4
1304.5709_4.2366,1304.5709,4.2366,212270.16405000002,Cluster_1304.5709_4.2366,1292.5513_4.24;1293.5531_4.2399;1295.0508_4.2407;1295.5529_4.2399;1296.0539_4.2402;1304.5709_4.2366;1309.5745_4.2363;1313.5514_4.2419;1321.5037_4.2431;1322.5089_4.2426;1326.5384_4.2448;1336.5797_4.2427;1352.5442_4.2387;1366.5646_4.2405;1368.5308_4.2407;1382.5843_4.2374;1386.5281_4.2412;1389.5174_4.243;651.7833_4.2356;652.2851_4.2381;656.7983_4.2366;674.786_4.2363;675.2875_4.2357;675.7869_4.235;679.8011_4.2339;706.2572_4.2379,26
441.0845_0.6849,441.0845,0.6849,99104.58984999999,441.0845_0.6849,441.0845_0.6849,1
367.0536_0.7055,367.0536,0.7055,41883.87305,367.0536_0.7055,367.0536_0.7055,1
245.0442_0.6843,245.0442,0.6843,1916292.875,245.0442_0.6843,245.0442_0.6843,1
319.0564_0.6744,319.0564,0.6744,235234.64065000002,Cluster_317.0565_0.6744,317.0565_0.6744;319.0564_0.6744,2
357.1208_3.3199,357.1208,3.3199,190819.5625,Cluster_357.1208_3.3199,195.0672_3.324;357.1208_3.3199;393.0952_3.3236;425.1079_3.3221,4
114.989_0.5302,114.989,0.5302,146817.75005,Cluster_272.9607_0.5308,114.989_0.5302;158.9795_0.5328;160.9776_0.5299;244.9651_0.5296;272.9607_0.5308;274.9593_0.5298;358.9452_0.5298;386.9411_0.53;388.9397_0.5292;472.925_0.5302;474.9233_0.5298;500.9209_0.5296;502.9199_0.5295;504.9156_0.5299,14
903.2416_3.0117,903.2416,3.0117,25297.751949999998,903.2416_3.0117,903.2416_3.0117,1
212.9218_0.5844,212.9218,0.5844,106477.61325,Cluster_128.9599_0.5843,128.9599_0.5843;212.9218_0.5844,2
365.0202_3.0115,365.0202,3.0115,292699.54689999996,Cluster_365.0202_3.0115,365.0202_3.0115;367.02_3.0113;387.0015_3.0125,3
213.0167_0.7137,213.0167,0.7137,125939.9883,213.0167_0.7137,213.0167_0.7137,1
491.1792_3.6915,491.1792,3.6915,291992.90625,Cluster_491.1792_3.6915,491.1792_3.6915;544.0893_3.686,2
333.0612_0.6427,333.0612,0.6427,1145564.625,333.0612_0.6427,333.0612_0.6427,1
289.0334_0.7062,289.0334,0.7062,187344.62505,289.0334_0.7062,289.0334_0.7062,1
337.1522_4.5051,337.1522,4.5051,112422.44535,Cluster_337.1522_4.5051,1252.6313_4.5012;249.1356_4.5057;291.1464_4.5064;337.1522_4.5051;435.0608_4.5062;454.0357_4.5078;460.0012_4.5069;461.9985_4.5065;671.2783_4.5037;693.2618_4.5069;724.1896_4.5065,11
679.8011_4.2339,679.8011,4.2339,175025.57815000002,Cluster_1304.5709_4.2366,1292.5513_4.24;1293.5531_4.2399;1295.0508_4.2407;1295.5529_4.2399;1296.0539_4.2402;1304.5709_4.2366;1309.5745_4.2363;1313.5514_4.2419;1321.5037_4.2431;1322.5089_4.2426;1326.5384_4.2448;1336.5797_4.2427;1352.5442_4.2387;1366.5646_4.2405;1368.5308_4.2407;1382.5843_4.2374;1386.5281_4.2412;1389.5174_4.243;651.7833_4.2356;652.2851_4.2381;656.7983_4.2366;674.786_4.2363;675.2875_4.2357;675.7869_4.235;679.8011_4.2339;706.2572_4.2379,26
383.0844_0.7219,383.0844,0.7219,115209.51955,383.0844_0.7219,383.0844_0.7219,1
237.0629_0.6706,237.0629,0.6706,238865.23440000002,237.0629_0.6706,237.0629_0.6706,1
800.6505_0.5837,800.6505,0.5837,83313.81640000001,Cluster_296.8839_0.5836,1052.5345_0.5834;1054.5334_0.5835;1096.5173_0.583;1136.4956_0.5832;1138.4952_0.5833;1222.4566_0.5831;1306.4187_0.5826;1390.3812_0.5831;296.8839_0.5836;298.8821_0.5837;380.8452_0.5838;382.8433_0.5834;464.8062_0.5835;466.8046_0.5845;548.7675_0.5832;550.7656_0.5838;632.7285_0.5837;634.7267_0.5837;716.6895_0.5838;718.6877_0.5835;800.6505_0.5837;802.6489_0.583;804.6471_0.583;884.6117_0.5832;886.6103_0.584;888.6085_0.5827;927.5936_0.5834;968.573_0.5837;970.572_0.5835;972.5704_0.5856,30
359.1363_4.1947,359.1363,4.1947,91970.41015000001,Cluster_359.1363_4.1947,359.1363_4.1947;459.061_4.1968,2
327.219_6.945,327.219,6.945,53013.91795,327.219_6.945,327.219_6.945,1
